,point_timestamp,point_value
0,2021-10-15 00:00:00,0
1,2021-10-16 00:00:00,442918
2,2021-10-17 00:00:00,111549
3,2021-10-18 00:00:00,500495
4,2021-10-19 00:00:00,544160
5,2021-10-20 00:00:00,684934
6,2021-10-21 00:00:00,524389
7,2021-10-22 00:00:00,453165
8,2021-10-23 00:00:00,219074
9,2021-10-24 00:00:00,97109
10,2021-10-25 00:00:00,545324
11,2021-10-26 00:00:00,628799
12,2021-10-27 00:00:00,481737
13,2021-10-28 00:00:00,699760
14,2021-10-29 00:00:00,519495
15,2021-10-30 00:00:00,235306
16,2021-10-31 00:00:00,82640
17,2021-11-01 00:00:00,499960
18,2021-11-02 00:00:00,630969
19,2021-11-03 00:00:00,602901
20,2021-11-04 00:00:00,591257
21,2021-11-05 00:00:00,530609
22,2021-11-06 00:00:00,169858
23,2021-11-07 00:00:00,85890
24,2021-11-08 00:00:00,489468
25,2021-11-09 00:00:00,776160
26,2021-11-10 00:00:00,636896
27,2021-11-11 00:00:00,494682
28,2021-11-12 00:00:00,546847
